airport,terminal,date,hour,us_avg_wait,us_max_wait,non_us_avg_wait,non_us_max_wait,all_avg_wait,all_max_wait,all_n_0_15,all_n_16_30,all_n_31_45,all_n_46_60,all_n_61_90,all_n_91_120,all_n_120_plus,all_excluded,all_total,all_flights,all_booths
ORD,Terminal 5,2021-01-01,0800 - 0900,1,3,3,12,3,12,31,0,0,0,0,0,0,1,32,1,13
ORD,Terminal 5,2021-01-01,1000 - 1100,8,19,8,17,8,19,140,6,0,0,0,0,0,4,150,2,14
ORD,Terminal 5,2021-01-01,1100 - 1200,10,24,10,22,10,24,333,112,0,0,0,0,0,13,458,4,17
ORD,Terminal 5,2021-01-01,1200 - 1300,7,18,7,21,7,21,245,12,0,0,0,0,0,7,264,4,18
ORD,Terminal 5,2021-01-01,1300 - 1400,10,28,11,23,11,28,79,15,0,0,0,0,0,3,97,1,14
ORD,Terminal 5,2021-01-01,1400 - 1500,15,49,17,49,15,49,311,82,59,16,0,0,0,12,480,3,14
ORD,Terminal 5,2021-01-01,1500 - 1600,20,42,20,40,20,42,189,197,172,0,0,0,0,16,574,4,13
ORD,Terminal 5,2021-01-01,1600 - 1700,11,18,6,16,11,18,174,42,0,0,0,0,0,4,220,2,12
ORD,Terminal 5,2021-01-01,1700 - 1800,8,22,6,15,8,22,440,57,0,0,0,0,0,15,512,4,12
ORD,Terminal 5,2021-01-01,1800 - 1900,13,43,20,43,15,43,330,167,108,0,0,0,0,24,629,4,12
ORD,Terminal 5,2021-01-01,1900 - 2000,8,20,8,19,8,20,453,43,0,0,0,0,0,15,511,3,12
ORD,Terminal 5,2021-01-01,2000 - 2100,9,19,11,19,10,19,69,16,0,0,0,0,0,3,88,1,6
ORD,Terminal 5,2021-01-01,2200 - 2300,9,31,9,25,9,31,234,42,1,0,0,0,0,8,285,2,12
ORD,Terminal 5,2021-01-01,2300 - 0000,8,18,9,19,8,19,153,13,0,0,0,0,0,4,170,2,13
ORD,Terminal 5,2021-01-02,0000 - 0100,10,23,13,24,11,24,104,48,0,0,0,0,0,5,157,1,6
ORD,Terminal 5,2021-01-02,0400 - 0500,20,55,30,55,23,55,55,25,27,14,0,0,0,3,124,1,5
ORD,Terminal 5,2021-01-02,0500 - 0600,22,35,16,35,19,35,17,32,8,0,0,0,0,2,59,1,5
ORD,Terminal 5,2021-01-02,0600 - 0700,10,44,31,67,24,67,185,90,50,58,29,0,0,22,434,2,8
ORD,Terminal 5,2021-01-02,0700 - 0800,28,52,47,60,43,60,10,0,0,42,0,0,0,2,54,1,7
ORD,Terminal 5,2021-01-02,0900 - 1000,12,23,12,23,12,23,57,32,0,0,0,0,0,3,92,1,5
ORD,Terminal 5,2021-01-02,1000 - 1100,9,23,8,21,9,23,95,21,0,0,0,0,0,7,123,1,5
ORD,Terminal 5,2021-01-02,1100 - 1200,20,42,22,42,21,42,113,227,69,0,0,0,0,12,421,3,11
ORD,Terminal 5,2021-01-02,1200 - 1300,32,48,32,48,32,48,47,111,399,13,0,0,0,13,583,4,13
ORD,Terminal 5,2021-01-02,1300 - 1400,29,52,26,52,28,52,151,304,311,65,0,0,0,33,864,5,15
ORD,Terminal 5,2021-01-02,1400 - 1500,35,67,40,66,37,67,41,184,343,216,9,0,0,23,816,5,14
ORD,Terminal 5,2021-01-02,1500 - 1600,35,55,41,55,36,55,52,52,216,135,0,0,0,10,465,3,14
ORD,Terminal 5,2021-01-02,1600 - 1700,12,25,13,26,12,26,308,153,0,0,0,0,0,15,476,3,10
ORD,Terminal 5,2021-01-02,1700 - 1800,29,60,29,58,29,60,334,224,571,195,0,0,0,45,1369,8,18
ORD,Terminal 5,2021-01-02,1800 - 1900,30,55,29,53,30,55,216,280,190,303,0,0,0,30,1019,7,19
ORD,Terminal 5,2021-01-02,1900 - 2000,10,23,10,23,10,23,741,172,0,0,0,0,0,21,934,7,17
ORD,Terminal 5,2021-01-02,2000 - 2100,8,14,10,11,8,14,194,0,0,0,0,0,0,6,200,2,12
ORD,Terminal 5,2021-01-02,2100 - 2200,8,18,10,18,9,18,120,27,0,0,0,0,0,5,152,1,12
ORD,Terminal 5,2021-01-02,2200 - 2300,7,14,8,14,7,14,142,0,0,0,0,0,0,4,146,1,10
ORD,Terminal 5,2021-01-02,2300 - 0000,9,24,9,23,9,24,275,30,0,0,0,0,0,14,319,2,14
ORD,Terminal 5,2021-01-03,0500 - 0600,15,26,16,25,15,26,62,67,0,0,0,0,0,2,131,1,6
ORD,Terminal 5,2021-01-03,0600 - 0700,11,32,34,72,29,72,107,71,46,51,33,0,0,10,318,1,9
ORD,Terminal 5,2021-01-03,0700 - 0800,17,39,23,52,20,52,56,54,34,4,0,0,0,7,155,2,7
ORD,Terminal 5,2021-01-03,0800 - 0900,12,31,20,32,17,32,48,45,6,0,0,0,0,2,101,1,7
ORD,Terminal 5,2021-01-03,1000 - 1100,12,24,11,24,12,24,104,60,0,0,0,0,0,8,172,1,6
ORD,Terminal 5,2021-01-03,1100 - 1200,32,61,34,62,33,62,155,95,218,195,6,0,0,21,690,4,14
ORD,Terminal 5,2021-01-03,1200 - 1300,25,50,19,50,24,50,300,158,307,55,0,0,0,27,847,5,19
ORD,Terminal 5,2021-01-03,1300 - 1400,8,20,6,19,7,20,577,71,0,0,0,0,0,15,663,4,19
ORD,Terminal 5,2021-01-03,1400 - 1500,7,18,8,18,7,18,285,23,0,0,0,0,0,8,316,2,18
ORD,Terminal 5,2021-01-03,1500 - 1600,14,32,13,28,14,32,412,318,3,0,0,0,0,23,756,4,15
ORD,Terminal 5,2021-01-03,1600 - 1700,11,26,13,26,12,26,384,201,0,0,0,0,0,16,601,4,16
ORD,Terminal 5,2021-01-03,1700 - 1800,13,34,14,34,13,34,474,339,17,0,0,0,0,29,859,5,17
ORD,Terminal 5,2021-01-03,1800 - 1900,8,20,10,20,8,20,698,40,0,0,0,0,0,17,755,4,17
ORD,Terminal 5,2021-01-03,1900 - 2000,7,24,10,27,8,27,921,107,0,0,0,0,0,18,1046,8,18
ORD,Terminal 5,2021-01-03,2000 - 2100,2,5,2,4,2,5,27,0,0,0,0,0,0,0,27,1,11
ORD,Terminal 5,2021-01-03,2200 - 2300,9,20,10,18,10,20,120,28,0,0,0,0,0,4,152,1,11
ORD,Terminal 5,2021-01-03,2300 - 0000,8,22,10,22,9,22,532,96,0,0,0,0,0,13,641,4,15
ORD,Terminal 5,2021-01-04,0400 - 0500,6,19,7,18,7,19,93,13,0,0,0,0,0,1,107,1,6
ORD,Terminal 5,2021-01-04,0500 - 0600,13,30,26,47,20,47,134,149,79,7,0,0,0,10,379,2,17
ORD,Terminal 5,2021-01-04,0600 - 0700,13,22,11,22,12,22,75,55,0,0,0,0,0,4,134,1,10
ORD,Terminal 5,2021-01-04,0700 - 0800,4,7,9,27,9,27,39,9,0,0,0,0,0,1,49,1,9
ORD,Terminal 5,2021-01-04,0800 - 0900,14,50,28,53,26,53,90,91,77,47,0,0,0,17,322,1,10
ORD,Terminal 5,2021-01-04,1000 - 1100,8,24,9,19,8,24,127,11,0,0,0,0,0,5,143,1,9
ORD,Terminal 5,2021-01-04,1100 - 1200,10,23,10,23,10,23,301,77,0,0,0,0,0,8,386,3,12
ORD,Terminal 5,2021-01-04,1200 - 1300,8,21,12,25,9,25,452,68,0,0,0,0,0,15,535,4,17
ORD,Terminal 5,2021-01-04,1300 - 1400,17,41,19,46,18,46,259,345,86,3,0,0,0,26,719,4,18
ORD,Terminal 5,2021-01-04,1400 - 1500,33,62,30,62,32,62,205,155,333,178,16,0,0,37,924,5,16
ORD,Terminal 5,2021-01-04,1500 - 1600,11,30,19,30,13,30,302,140,0,0,0,0,0,10,452,3,16
ORD,Terminal 5,2021-01-04,1600 - 1700,9,22,9,21,9,22,322,65,0,0,0,0,0,9,396,3,13
ORD,Terminal 5,2021-01-04,1700 - 1800,15,43,21,43,16,43,429,216,131,0,0,0,0,24,800,4,16
ORD,Terminal 5,2021-01-04,1800 - 1900,12,26,18,26,13,26,284,171,0,0,0,0,0,14,469,3,16
ORD,Terminal 5,2021-01-04,1900 - 2000,8,21,10,21,8,21,393,108,0,0,0,0,0,12,513,3,12
ORD,Terminal 5,2021-01-04,2000 - 2100,10,21,11,19,11,21,135,25,0,0,0,0,0,3,163,1,13
ORD,Terminal 5,2021-01-04,2100 - 2200,8,19,10,19,8,19,156,20,0,0,0,0,0,7,183,1,11
ORD,Terminal 5,2021-01-04,2200 - 2300,9,19,9,16,9,19,120,14,0,0,0,0,0,5,139,1,12
ORD,Terminal 5,2021-01-04,2300 - 0000,7,18,8,17,7,18,461,12,0,0,0,0,0,7,480,3,14
ORD,Terminal 5,2021-01-05,0100 - 0200,14,44,14,44,14,44,124,53,27,0,0,0,0,7,211,2,5
ORD,Terminal 5,2021-01-05,0500 - 0600,31,59,37,59,36,59,50,19,61,105,0,0,0,6,241,1,17
ORD,Terminal 5,2021-01-05,0600 - 0700,49,88,36,88,41,88,129,122,116,135,182,0,0,32,716,3,17
ORD,Terminal 5,2021-01-05,0700 - 0800,36,61,46,61,45,61,6,0,28,43,3,0,0,2,82,1,13
ORD,Terminal 5,2021-01-05,1000 - 1100,27,39,29,39,27,39,0,77,27,0,0,0,0,4,108,1,9
ORD,Terminal 5,2021-01-05,1100 - 1200,11,21,10,21,11,21,309,95,0,0,0,0,0,5,409,3,13
ORD,Terminal 5,2021-01-05,1200 - 1300,19,34,15,34,17,34,340,435,51,0,0,0,0,19,845,6,15
ORD,Terminal 5,2021-01-05,1300 - 1400,6,12,7,12,6,12,73,0,0,0,0,0,0,3,76,1,13
ORD,Terminal 5,2021-01-05,1400 - 1500,15,42,18,41,16,42,301,190,82,0,0,0,0,26,599,3,15
ORD,Terminal 5,2021-01-05,1500 - 1600,11,24,14,22,11,24,186,103,0,0,0,0,0,10,299,2,9
ORD,Terminal 5,2021-01-05,1600 - 1700,12,22,13,22,13,22,217,91,0,0,0,0,0,8,316,2,16
ORD,Terminal 5,2021-01-05,1700 - 1800,11,27,10,27,11,27,476,204,0,0,0,0,0,18,698,4,20
ORD,Terminal 5,2021-01-05,1800 - 1900,8,33,10,33,9,33,641,82,11,0,0,0,0,17,751,6,19
ORD,Terminal 5,2021-01-05,1900 - 2000,6,12,8,12,6,12,179,0,0,0,0,0,0,5,184,1,16
ORD,Terminal 5,2021-01-05,2000 - 2100,6,15,7,12,6,15,124,0,0,0,0,0,0,4,128,1,18
ORD,Terminal 5,2021-01-05,2200 - 2300,6,15,8,15,7,15,167,0,0,0,0,0,0,0,167,1,12
ORD,Terminal 5,2021-01-05,2300 - 0000,9,21,10,20,9,21,254,48,0,0,0,0,0,6,308,2,15
ORD,Terminal 5,2021-01-06,0000 - 0100,21,38,19,38,21,38,49,42,41,0,0,0,0,7,139,1,4
ORD,Terminal 5,2021-01-06,0600 - 0700,9,21,10,20,9,21,134,28,0,0,0,0,0,10,172,1,13
ORD,Terminal 5,2021-01-06,0700 - 0800,0,4,0,5,0,5,28,0,0,0,0,0,0,1,29,1,9
ORD,Terminal 5,2021-01-06,0800 - 0900,8,16,8,16,8,16,104,4,0,0,0,0,0,3,111,1,14
ORD,Terminal 5,2021-01-06,0900 - 1000,11,34,20,38,18,38,93,92,43,0,0,0,0,5,233,1,12
ORD,Terminal 5,2021-01-06,1000 - 1100,7,17,10,17,8,17,104,7,0,0,0,0,0,6,117,1,11
ORD,Terminal 5,2021-01-06,1100 - 1200,17,40,17,38,17,40,224,301,41,0,0,0,0,10,576,5,18
ORD,Terminal 5,2021-01-06,1200 - 1300,17,29,16,30,16,30,156,179,0,0,0,0,0,10,345,2,17
ORD,Terminal 5,2021-01-06,1300 - 1400,11,30,9,30,10,30,351,116,0,0,0,0,0,14,481,3,19
ORD,Terminal 5,2021-01-06,1400 - 1500,24,65,27,65,26,65,169,77,83,79,12,0,0,14,434,3,16
ORD,Terminal 5,2021-01-06,1500 - 1600,19,34,20,30,19,34,91,288,4,0,0,0,0,11,394,3,16
ORD,Terminal 5,2021-01-06,1600 - 1700,8,19,9,19,8,19,163,14,0,0,0,0,0,1,178,1,19
ORD,Terminal 5,2021-01-06,1700 - 1800,9,21,8,21,8,21,253,55,0,0,0,0,0,8,316,2,19
ORD,Terminal 5,2021-01-06,1800 - 1900,8,22,8,22,8,22,497,30,0,0,0,0,0,15,542,5,18
ORD,Terminal 5,2021-01-06,1900 - 2000,7,20,8,20,8,20,421,28,0,0,0,0,0,13,462,4,19
ORD,Terminal 5,2021-01-06,2000 - 2100,7,13,7,13,7,13,124,0,0,0,0,0,0,4,128,1,18
ORD,Terminal 5,2021-01-06,2200 - 2300,15,30,14,29,14,30,164,134,0,0,0,0,0,5,303,2,16
ORD,Terminal 5,2021-01-06,2300 - 0000,6,17,7,17,6,17,266,9,0,0,0,0,0,10,285,2,18
